Landing type,Timestamp (s),Phase
Comp,1743791600.4257073,Run-up Phase Start
Comp,1743791599.138616,Static Phase Start
Comp,1743791603.4227457,Injump Phase Start
Comp,1743791603.8212595,Loading Phase Start
Comp,1743791603.9020393,Rebound Phase Start
Comp,1743791603.998975,Flight Phase Start
Comp,1743791605.248638,Landing Phase Start
Comp,1743791606.2099175,Landing Phase End
Comp,1743791684.931981,Run-up Phase Start
Comp,1743791683.8877676,Static Phase Start
Comp,1743791688.6088078,Injump Phase Start
Comp,1743791688.9895499,Loading Phase Start
Comp,1743791689.0762537,Rebound Phase Start
Comp,1743791689.166727,Flight Phase Start
Comp,1743791690.3881176,Landing Phase Start
Comp,1743791691.4624887,Landing Phase End
Comp,1743791760.0752304,Run-up Phase Start
Comp,1743791759.1893454,Static Phase Start
Comp,1743791763.8048337,Injump Phase Start
Comp,1743791764.2270427,Loading Phase Start
Comp,1743791764.317516,Rebound Phase Start
Comp,1743791764.4079895,Flight Phase Start
Comp,1743791765.6896956,Landing Phase Start
Comp,1743791766.58312,Landing Phase End
Comp,1743791873.8349915,Run-up Phase Start
Comp,1743791872.4251149,Static Phase Start
Comp,1743791877.7040741,Injump Phase Start
Comp,1743791878.0961254,Loading Phase Start
Comp,1743791878.1865988,Rebound Phase Start
Comp,1743791878.2770722,Flight Phase Start
Comp,1743791879.7171066,Landing Phase Start
Comp,1743791880.8103266,Landing Phase End
Comp,1743791969.0687141,Run-up Phase Start
Comp,1743791968.197908,Static Phase Start
Comp,1743791973.0735073,Injump Phase Start
Comp,1743791973.4994862,Loading Phase Start
Comp,1743791973.5786502,Rebound Phase Start
Comp,1743791973.665354,Flight Phase Start
Comp,1743791975.1355462,Landing Phase Start
Comp,1743791976.1420624,Landing Phase End
Semi,1743792149.6230133,Run-up Phase Start
Semi,1743792147.9515624,Static Phase Start
Semi,1743792154.0054152,Injump Phase Start
Semi,1743792154.4147775,Loading Phase Start
Semi,1743792154.5011566,Rebound Phase Start
Semi,1743792154.595047,Flight Phase Start
Semi,1743792155.8832235,Landing Phase Start
Semi,1743792157.0286868,Landing Phase End
Semi,1743792214.065505,Run-up Phase Start
Semi,1743792212.7660618,Static Phase Start
Semi,1743792218.1904464,Injump Phase Start
Semi,1743792218.6073198,Loading Phase Start
Semi,1743792218.6974547,Rebound Phase Start
Semi,1743792218.7800782,Flight Phase Start
Semi,1743792220.0419655,Landing Phase Start
Semi,1743792221.4690998,Landing Phase End
Semi,1743792282.1075547,Run-up Phase Start
Semi,1743792280.7254877,Static Phase Start
Semi,1743792286.0672488,Injump Phase Start
Semi,1743792286.4615886,Loading Phase Start
Semi,1743792286.5517232,Rebound Phase Start
Semi,1743792286.634347,Flight Phase Start
Semi,1743792288.1178155,Landing Phase Start
Semi,1743792289.7640498,Landing Phase End
Semi,1743792351.8033497,Run-up Phase Start
Semi,1743792350.6391084,Static Phase Start
Semi,1743792355.8118668,Injump Phase Start
Semi,1743792356.2400072,Loading Phase Start
Semi,1743792356.311364,Rebound Phase Start
Semi,1743792356.397743,Flight Phase Start
Semi,1743792357.828633,Landing Phase Start
Semi,1743792358.7087216,Landing Phase End
Soft,1743792461.635853,Run-up Phase Start
Soft,1743792459.9738326,Static Phase Start
Soft,1743792466.1525135,Injump Phase Start
Soft,1743792466.6058521,Loading Phase Start
Soft,1743792466.6828465,Rebound Phase Start
Soft,1743792466.773116,Flight Phase Start
Soft,1743792468.0873334,Landing Phase Start
Soft,1743792469.1668503,Landing Phase End
Soft,1743792524.2504818,Run-up Phase Start
Soft,1743792522.9314854,Static Phase Start
Soft,1743792528.425711,Injump Phase Start
Soft,1743792528.8749344,Loading Phase Start
Soft,1743792528.94184,Rebound Phase Start
Soft,1743792529.0469775,Flight Phase Start
Soft,1743792530.348451,Landing Phase Start
Soft,1743792531.371151,Landing Phase End
Soft,1743792629.2397292,Run-up Phase Start
Soft,1743792628.564301,Static Phase Start
Soft,1743792633.3384948,Injump Phase Start
Soft,1743792633.7271845,Loading Phase Start
Soft,1743792633.803648,Rebound Phase Start
Soft,1743792633.8992276,Flight Phase Start
Soft,1743792635.4061968,Landing Phase Start
Soft,1743792636.4448268,Landing Phase End
Soft,1743792732.581824,Run-up Phase Start
Soft,1743792731.53045,Static Phase Start
Soft,1743792736.7745757,Injump Phase Start
Soft,1743792737.2078693,Loading Phase Start
Soft,1743792737.2747748,Rebound Phase Start
Soft,1743792737.3767262,Flight Phase Start
Soft,1743792738.8996255,Landing Phase Start
Soft,1743792740.0561368,Landing Phase End
