test_subject,jump_nr,landing,trial,position,KE,PE,RE
7,2,Competition,Sub max,Pike,1162.2130000000002,1909.1241,275.0100043153501
7,3,Competition,Sub max,Straight,1150.5812500000002,1826.86725,463.267758485434
7,4,Competition,Near max,Tuck,1520.532,2091.4919999999997,553.9213666335025
7,5,Competition,Near max,Tuck,1432.9119999999998,2070.44955,532.2989009409305
7,6,Soft pit,Sub max,Pike,1193.5169999999998,1998.3951,160.40132325276244
7,7,Soft pit,Sub max,Straight,1277.6692499999997,2017.5246,597.7202376520726
7,8,Soft pit,Near max,Tuck,1476.3970000000002,2187.1395,494.86102960326446
7,9,Soft pit,Near max,Tuck,1601.6129999999998,2310.8436,502.4490649713155
7,10,Semi in Soft pit,Sub max,Pike,888.9692500000002,1914.2252999999998,376.4495041958917
7,11,Semi in Soft pit,Sub max,Straight,1067.06925,1968.4255500000002,403.42819743595624
7,12,Semi in Soft pit,Near max,Tuck,1507.2232499999998,2224.1232,511.00131850306707
7,13,Semi in Soft pit,Near max,Tuck,1542.84325,2247.71625,504.33066373957007
8,3,Competition,Sub max,Straight,1567.5394000000001,1838.47248,791.3750719226571
8,4,Competition,Sub max,Straight,1628.1376,1826.46504,793.7117575519355
8,5,Competition,Near max,Tuck,1836.7649999999999,2240.0546400000003,524.7763481533824
8,6,Competition,Near max,Tuck,1876.9665999999997,2234.05092,467.96081896150355
8,7,Soft pit,Sub max,Straight,1666.0,1993.23504,750.0408748002671
8,8,Soft pit,Sub max,Straight,1449.7906,1987.23132,680.3040081043156
8,9,Soft pit,Near max,Tuck,1718.7714,2330.11044,480.33472568575417
8,10,Soft pit,Near max,Tuck,1747.9026,2397.48552,456.7261259276229
8,11,Semi in Soft pit,Sub max,Straight,1440.9234,2010.5791199999999,841.3269167364044
8,12,Semi in Soft pit,Sub max,Straight,1366.6504,2160.00504,740.9169481162676
8,13,Semi in Soft pit,Near max,Tuck,1558.3185999999998,2332.77876,410.34286439810955
8,14,Semi in Soft pit,Near max,Tuck,1481.0399999999997,2318.103,477.1777883816594
9,3,Competition,Sub max,Tuck,1628.7176,2086.80282,375.68987421112445
9,4,Competition,Sub max,Pike,1430.3473999999999,2260.82241,371.34851742559385
9,5,Competition,Near max,Tuck,1934.4416,2465.63559,491.85177777476304
9,6,Competition,Near max,Tuck,2203.6108499999996,2474.22915,475.3795157513429
9,7,Soft pit,Sub max,Pike,1732.73165,2505.0227400000003,783.013758704225
9,8,Soft pit,Sub max,Pike,1495.0400000000002,2497.14531,472.0558952489869
9,9,Soft pit,Near max,Tuck,1902.6866,2547.99054,337.8992099899086
9,10,Soft pit,Near max,Tuck,1897.4196499999998,2529.37116,455.61398917514197
9,11,Semi in Soft pit,Sub max,Pike,1778.2946000000002,2520.06147,818.179417118685
9,12,Semi in Soft pit,Sub max,Pike,1845.15165,2424.8161800000003,484.4523990998051
9,13,Semi in Soft pit,Near max,Tuck,1945.085,2600.98416,327.4575384991926
9,14,Semi in Soft pit,Near max,Tuck,1778.2946000000002,2601.7002899999998,468.6055812144215
10,3,Competition,Sub max,Pike,1776.9212999999997,2084.89968,708.2573749853476
10,4,Competition,Sub max,Pike,1912.7557000000004,2201.7760200000002,674.032843882638
10,5,Competition,Near max,Straight,2131.4997,2179.99782,1245.3811295825537
10,6,Competition,Near max,Straight,2199.4317,2159.6715000000004,1123.0606616852358
10,8,Soft pit,Sub max,Pike,1838.9925,2357.12718,571.8256270585947
10,10,Soft pit,Near max,Straight,1982.5488000000003,2293.24446,1248.2705134480489
10,11,Soft pit,Near max,Straight,2070.1648000000005,2304.8595,1183.4152325403566
10,12,Semi in Soft pit,Sub max,Pike,1756.4677,2247.51024,560.9888154671464
10,13,Semi in Soft pit,Sub max,Pike,1854.6768000000002,2248.2361800000003,508.08425068549593
10,14,Semi in Soft pit,Near max,Straight,1907.4388,2280.90348,1369.8849349474142
10,16,Semi in Soft pit,Near max,Straight,1902.1292999999998,2369.46816,1101.0791323208528
11,1,Competition,Sub max,Straight,1632.7115,2002.4172,1006.6058155381297
11,2,Competition,Sub max,Straight,1710.1035000000002,2031.2586000000003,774.7820300292921
11,4,Competition,Near max,Tuck,2069.7635,2323.1061,511.421367386369
11,5,Competition,Near max,Tuck,1958.2640000000004,2391.0894000000003,529.7419468128486
11,6,Soft pit,Sub max,Straight,1642.2874999999997,2185.0794,738.1200174445049
11,7,Soft pit,Sub max,Straight,1642.2874999999997,2152.1178,540.6413205794481
11,8,Soft pit,Near max,Tuck,1860.0435,2468.6865000000003,497.2158449515932
11,9,Soft pit,Near max,Tuck,1885.646,2525.6826,504.9529435203832
11,10,Semi in Soft pit,Sub max,Straight,1529.2235,2054.6064,439.0087442987948
11,11,Semi in Soft pit,Sub max,Straight,1557.1115,2224.2213,621.2720675559067
11,12,Semi in Soft pit,Near max,Tuck,2000.376,2454.2658,507.5660250473335
11,13,Semi in Soft pit,Near max,Tuck,1968.75,2465.9397000000004,505.97372636414894
12,1,Competition,Sub max,Straight,1964.3903999999998,2271.08367,1130.3544554045825
12,2,Competition,Sub max,Straight,1935.2671500000001,2329.9731,1330.9362622270503
12,3,Competition,Near max,Tuck,2174.34315,2665.3868100000004,577.5393136202141
12,4,Competition,Near max,Tuck,2343.5886,2754.14769,558.7884040667584
12,5,Semi in Soft pit,Sub max,Straight,1672.14,2449.4589,1094.3033195918288
12,6,Semi in Soft pit,Sub max,Straight,1737.4944000000003,2562.11694,851.1212506906535
12,7,Semi in Soft pit,Near max,Tuck,1715.5704,2708.91378,555.0819056790856
12,8,Semi in Soft pit,Near max,Tuck,1787.3323500000001,2871.92655,576.7935130930848
12,9,Soft pit,Sub max,Straight,1634.59515,2494.69281,887.3533138633217
12,10,Soft pit,Sub max,Straight,1613.33235,2597.10921,1113.002509513221
12,11,Soft pit,Near max,Tuck,2023.2894000000003,2780.6052600000003,553.9530984425489
12,12,Soft pit,Near max,Tuck,1832.22435,2726.8366499999997,541.0516260281175
13,1,Competition,Sub max,Straight,1692.1842499999996,2531.5686,400.9741985908023
13,2,Competition,Sub max,Straight,1959.42425,2536.5717,504.893138096033
13,3,Competition,Near max,Tuck,2046.9530000000002,2621.6244,486.48692502584527
13,4,Competition,Near max,Tuck,2124.35825,2962.66905,492.89810198568813
13,5,Semi in Soft pit,Sub max,Straight,1670.7982499999996,2430.67275,465.73469575362
13,6,Semi in Soft pit,Sub max,Straight,1812.23825,2587.4365500000004,597.443367289013
13,7,Semi in Soft pit,Near max,Tuck,1953.6570000000002,2972.6752500000002,538.8555618875032
13,8,Semi in Soft pit,Near max,Tuck,1976.7770000000003,2971.8414000000002,510.33648980335846
13,9,Soft pit,Sub max,Straight,1779.0882499999998,2496.5469000000003,1312.2556109513405
13,10,Soft pit,Sub max,Straight,1868.16825,2771.7174,442.5491220352463
13,14,Soft pit,Near max,Tuck,1757.1582499999997,2774.21895,521.5769712961744
14,2,Competition,Sub max,Straight,1796.6124,2334.3091200000003,1371.4162590747178
14,3,Competition,Sub max,Straight,1724.2543999999998,2519.9143200000003,1153.757858804748
14,4,Competition,Near max,Tuck,2058.5663999999997,2904.9372000000003,455.151915260999
14,5,Competition,Near max,Tuck,1998.8144000000002,3043.92528,488.8940270507258
14,6,Semi in Soft pit,Sub max,Straight,1713.2544000000003,2610.5587200000004,812.1047758587749
14,7,Semi in Soft pit,Sub max,Straight,1675.0316,2496.6057600000004,746.3010679262691
14,8,Semi in Soft pit,Near max,Tuck,1939.9424,3164.7844800000003,477.28917630463394
14,9,Semi in Soft pit,Near max,Tuck,1785.3836000000001,2938.60512,469.6825919966626
14,10,Soft pit,Sub max,Straight,1552.4784000000004,2617.4649600000002,631.3684471732367
14,11,Soft pit,Sub max,Straight,1675.0316,2528.54712,822.4303575869475
14,12,Soft pit,Near max,Tuck,1887.7099999999998,3211.4016000000006,455.6555256828495
14,13,Soft pit,Near max,Tuck,1945.7900000000002,3258.882,421.9036262729702
15,1,Competition,Sub max,Pike,935.4352,1615.1184,189.5708242320883
15,2,Competition,Sub max,Pike,1011.3628,1525.5727200000001,205.847300563107
15,3,Competition,Near max,Tuck,1227.0832,1616.76648,527.0732854196285
15,4,Competition,Near max,Tuck,1512.6299999999999,1491.5124,548.228139253108
15,5,Semi in Soft pit,Sub max,Pike,1111.32,1586.00232,240.75327885886267
15,6,Semi in Soft pit,Sub max,Pike,994.6048,1753.00776,280.55085939846225
15,7,Semi in Soft pit,Near max,Tuck,1111.32,1637.6421599999999,540.062380983775
15,8,Semi in Soft pit,Near max,Tuck,1139.7232,1795.8578400000001,531.2197162261724
15,9,Soft pit,Sub max,Pike,865.5807999999998,1659.61656,214.656060406194
15,10,Soft pit,Sub max,Pike,884.3632,1643.68512,212.44529774390054
15,11,Soft pit,Near max,Tuck,1076.3200000000002,1580.5087199999998,490.7616145253352
