test_subject,jump_nr,landing,trial,max_takeoff_jerk,max_landing_jerk
7,2,Comp,Sub max,1428.2110293934554,2172.822554816572
7,3,Comp,Sub max,1252.4643877307133,2205.7819595134233
7,4,Comp,Near max,1820.6246395061278,2227.0626751023055
7,5,Comp,Near max,1807.5297173517895,2918.4977435403657
7,6,Soft,Sub max,1184.6500346434398,1601.6804755097728
7,7,Soft,Sub max,1494.8550050549995,1739.3747912245547
7,8,Soft,Near max,1565.0851583573397,1623.6813665310551
7,9,Soft,Near max,1656.7376840314973,1796.054354551553
7,10,Semi,Sub max,1344.666931069969,1588.443070609009
7,11,Semi,Sub max,1226.5494538042358,1383.5874057829692
7,12,Semi,Near max,1541.2049861717812,1984.8702629929883
7,13,Semi,Near max,1611.000859644932,2281.886669568752
8,3,Comp,Sub max,1648.2236813783088,1917.1082801362886
8,4,Comp,Sub max,1987.5290612872127,2388.516137168842
8,5,Comp,Near max,2039.205014533854,2868.647140317392
8,6,Comp,Near max,2491.3465032216336,2702.991470410272
8,7,Soft,Sub max,1841.0693230099973,924.9451598032987
8,8,Soft,Sub max,1947.172244311467,1442.1811354515255
8,9,Soft,Near max,2487.003511487386,1630.6475791146177
8,10,Soft,Near max,2268.7410274324675,1726.8838897337823
8,11,Semi,Sub max,1929.827752598129,2100.431102106706
8,12,Semi,Sub max,1955.09119678606,2166.493237151072
8,13,Semi,Near max,2352.361361800697,2645.2719767665776
8,14,Semi,Near max,2205.6326856401097,2762.5805972348544
9,3,Comp,Sub max,1774.6576172484047,1895.918000246273
9,4,Comp,Sub max,1946.1054991099636,1851.5921469334257
9,5,Comp,Near max,2293.162896684541,2399.8800664527603
9,6,Comp,Near max,2330.6404101647,2794.1705384206725
9,7,Soft,Sub max,2101.7938802314784,1528.7448488927657
9,8,Soft,Sub max,2047.6312838752115,1525.982572183878
9,9,Soft,Near max,2370.911415395941,1657.694027437288
9,10,Soft,Near max,2084.1769858281955,1786.3477625264218
9,11,Semi,Sub max,1718.4063519269332,1854.9722612811674
9,12,Semi,Sub max,1746.337106454995,1664.8058811590893
9,13,Semi,Near max,2069.045979059676,1759.6844248169887
9,14,Semi,Near max,2171.4215416021375,2211.366522081714
10,3,Comp,Sub max,1655.4725030194923,2145.457352849625
10,4,Comp,Sub max,1702.8505433497783,2502.455033791185
10,5,Comp,Near max,1561.8122338982178,2976.828915439374
10,6,Comp,Near max,1803.4145703611157,2643.55132341689
10,8,Soft,Sub max,1995.6245092995043,1067.335505660469
10,10,Soft,Near max,1766.606426612639,1255.046917128127
10,11,Soft,Near max,1586.5972282748733,1506.1039102617995
10,12,Semi,Sub max,1498.9454969791984,1443.6079009114355
10,13,Semi,Sub max,1637.2856955202026,1603.5579597436447
10,14,Semi,Near max,2088.5824099906317,2112.3805837489517
10,16,Semi,Near max,2021.4709949886596,2496.3545682672075
11,1,Comp,Sub max,1861.9113481528252,3006.102387170672
11,2,Comp,Sub max,1898.2866652397424,1835.350296174153
11,4,Comp,Near max,2188.517121630028,1986.190081009465
11,5,Comp,Near max,2120.9857656357326,2297.2325534842457
11,6,Soft,Sub max,1937.6757779528416,1250.1641134980684
11,7,Soft,Sub max,2032.833902919152,1498.8671970610742
11,8,Soft,Near max,2225.3725826306354,1255.4362261526257
11,9,Soft,Near max,2213.441556518348,1425.5415961674357
11,10,Semi,Sub max,1807.7214427592698,1852.7646626350913
11,11,Semi,Sub max,2016.5822659532732,1946.9241074221206
11,12,Semi,Near max,2324.87936927029,2244.2286199656896
11,13,Semi,Near max,2438.0542733454317,1557.8230844248685
12,1,Comp,Sub max,1799.8175424239014,2921.6972069090866
12,2,Comp,Sub max,1993.6891615972365,2348.767041452247
12,3,Comp,Near max,2067.6850179512935,1841.0136353889686
12,4,Comp,Near max,1950.4601997970778,1864.4097315143483
12,5,Semi,Sub max,1629.34742537585,1458.089404545229
12,6,Semi,Sub max,1787.9442276582229,1355.4895692267626
12,7,Semi,Near max,1974.7602995630486,1558.9619781137467
12,8,Semi,Near max,2087.1112509435407,1794.3673229357594
12,9,Soft,Sub max,1597.2137685741175,1148.1887515753192
12,10,Soft,Sub max,1696.5249686715943,911.7340151756628
12,11,Soft,Near max,1744.597991355421,1020.2770933591411
12,12,Soft,Near max,1780.0375257783162,1313.664847048373
13,1,Comp,Sub max,1548.6967130901028,2228.982476397647
13,2,Comp,Sub max,1540.3563513364254,1954.569127901646
13,3,Comp,Near max,1589.9767401684696,1987.0232145236591
13,4,Comp,Near max,1891.3062996840267,2066.0590940345064
13,5,Semi,Sub max,1378.8376070110485,1586.3769175270068
13,6,Semi,Sub max,1485.9702182510603,1558.005500472333
13,7,Semi,Near max,1819.5273226628503,2432.8517259932405
13,8,Semi,Near max,2285.1246058149736,1724.5391625800446
13,9,Soft,Sub max,1598.9349711866557,1245.1553991639892
13,10,Soft,Sub max,2116.820604206715,725.37050397188
13,14,Soft,Near max,1519.3514486417298,1321.7559694738698
14,2,Comp,Sub max,1356.1788125019305,2851.4995739512956
14,3,Comp,Sub max,1882.3909904721406,2954.0496612968086
14,4,Comp,Near max,2264.650773577524,2532.462892747733
14,5,Comp,Near max,2221.3518690209744,3676.4847837870384
14,6,Semi,Sub max,1637.5981397994308,1822.7770047245683
14,7,Semi,Sub max,1793.0920260206142,2258.1324389164006
14,8,Semi,Near max,2192.9237432525088,2439.746101130625
14,9,Semi,Near max,2124.0060355572446,1918.5524923800879
14,10,Soft,Sub max,1761.7868887026525,1304.2203796055921
14,11,Soft,Sub max,1750.6328582769215,1503.2018400472698
14,12,Soft,Near max,1998.3921311415234,1442.395272132968
14,13,Soft,Near max,2052.1278307676157,1553.9795626880803
15,1,Comp,Sub max,1887.6983658055724,2483.087648581607
15,2,Comp,Sub max,1760.5296416984445,2137.1667480661204
15,3,Comp,Near max,1727.9484427756638,2957.1572519046
15,4,Comp,Near max,1993.62987186255,1904.7789441187122
15,5,Semi,Sub max,1640.5749908622988,1814.0964457913183
15,6,Semi,Sub max,1509.0072431484873,1728.8408130455953
15,7,Semi,Near max,1860.6223753829377,2254.483275136353
15,8,Semi,Near max,1679.1907100892463,2024.5952043281545
15,9,Soft,Sub max,1910.451182464971,1057.6399281892427
15,10,Soft,Sub max,1380.8926039980704,902.7678851273063
15,11,Soft,Near max,2005.3294340580085,1340.525600534442
